timestamp,experiment_phase,phase_progress,step,time,battery_level,motor_temperature
1770546542.5408075,walking_forward,0.33,33,0.66,96.7,47.91281426553816
1770546542.5611246,walking_forward,0.34,34,0.68,96.6,40.63253379363462
1770546542.5817666,walking_forward,0.35,35,0.7000000000000001,96.5,45.01569097156333
1770546542.602957,walking_forward,0.36,36,0.72,96.4,45.09020311340368
1770546542.6232789,walking_forward,0.37,37,0.74,96.3,41.717539891559824
1770546542.6436667,walking_forward,0.38,38,0.76,96.2,42.45896002389376
1770546542.6641886,walking_forward,0.39,39,0.78,96.1,41.220485402296596
1770546542.6854687,walking_forward,0.4,40,0.8,96.0,44.67129950496471
1770546542.7062025,walking_forward,0.41,41,0.8200000000000001,95.9,40.02982869176486
1770546542.7269125,walking_forward,0.42,42,0.84,95.8,46.31960986761329
1770546542.7474914,walking_forward,0.43,43,0.86,95.7,44.30474614606705
1770546542.7686234,walking_forward,0.44,44,0.88,95.6,43.88577635850655
1770546542.7890625,walking_forward,0.45,45,0.9,95.5,41.597415354749245
1770546542.810846,walking_forward,0.46,46,0.92,95.4,49.388248229764145
1770546542.8315835,walking_forward,0.47,47,0.9400000000000001,95.3,40.37850374014035
1770546542.85227,walking_forward,0.48,48,0.96,95.2,43.84828941572357
1770546542.8751214,walking_forward,0.49,49,0.98,95.1,47.86353202418421
1770546542.8957639,walking_forward,0.5,50,1.0,95.0,46.58538675076921
1770546542.9163744,walking_forward,0.51,51,1.02,94.9,43.26303160841805
1770546542.9369314,walking_forward,0.52,52,1.04,94.8,43.58559207126598
1770546542.9572017,walking_forward,0.53,53,1.06,94.7,46.66648178131456
1770546542.9776416,walking_forward,0.54,54,1.08,94.6,49.943128030152145
1770546542.9982111,walking_forward,0.55,55,1.1,94.5,45.22582829023023
1770546543.0189412,walking_forward,0.56,56,1.12,94.4,47.34467858151466
1770546543.0412333,walking_forward,0.57,57,1.1400000000000001,94.3,48.93195113719205
1770546543.0615325,walking_forward,0.58,58,1.16,94.2,40.70349955498227
1770546543.0828097,walking_forward,0.59,59,1.18,94.1,45.263539013792524
1770546543.1031651,walking_forward,0.6,60,1.2,94.0,46.74296545426364
1770546543.1234987,walking_forward,0.61,61,1.22,93.9,45.553100922477746
1770546543.1437905,walking_forward,0.62,62,1.24,93.8,47.74155418187967
1770546543.1646154,walking_forward,0.63,63,1.26,93.7,44.36404903813576
1770546543.1854203,walking_forward,0.64,64,1.28,93.6,41.60144287221365
1770546543.2062366,walking_forward,0.65,65,1.3,93.5,40.50684394338514
1770546543.2265651,walking_forward,0.66,66,1.32,93.4,47.59428063649143
1770546543.247223,walking_forward,0.67,67,1.34,93.3,41.577369603906064
1770546543.2675812,walking_forward,0.68,68,1.36,93.2,41.99417936146736
1770546543.2883217,walking_forward,0.69,69,1.3800000000000001,93.1,47.4558092290719
1770546543.3102562,walking_forward,0.7,70,1.4000000000000001,93.0,49.68019609108818
1770546543.3306286,walking_forward,0.71,71,1.42,92.9,49.288140591867055
1770546543.3511791,walking_forward,0.72,72,1.44,92.8,46.02225882302318
1770546543.3714476,walking_forward,0.73,73,1.46,92.7,46.62639632301584
1770546543.3930027,walking_forward,0.74,74,1.48,92.6,44.88500649682461
1770546543.4145935,walking_forward,0.75,75,1.5,92.5,45.09379809113989
1770546543.4350564,walking_forward,0.76,76,1.52,92.4,40.20620680153792
1770546543.4555874,walking_forward,0.77,77,1.54,92.3,47.78020484421389
1770546543.477666,walking_forward,0.78,78,1.56,92.2,42.55107746897308
1770546543.4979024,walking_forward,0.79,79,1.58,92.1,44.31117452190131
1770546543.5185463,walking_forward,0.8,80,1.6,92.0,49.92058407634064
1770546543.5389488,walking_forward,0.81,81,1.62,91.9,44.06383788694026
1770546543.559247,walking_forward,0.82,82,1.6400000000000001,91.8,43.98607474509018
1770546543.580024,walking_forward,0.83,83,1.6600000000000001,91.7,40.8407490045307
1770546543.6006238,walking_forward,0.84,84,1.68,91.6,43.03193003900613
1770546543.6212058,walking_forward,0.85,85,1.7,91.5,46.19645367860181
1770546543.6421168,walking_forward,0.86,86,1.72,91.4,44.962017300168384
1770546543.662526,walking_forward,0.87,87,1.74,91.3,42.544363606325426
1770546543.6831992,walking_forward,0.88,88,1.76,91.2,48.069103454145875
1770546543.7042992,walking_forward,0.89,89,1.78,91.1,45.52128889802026
1770546543.7250924,walking_forward,0.9,90,1.8,91.0,40.61709623289766
1770546543.7461004,walking_forward,0.91,91,1.82,90.9,46.69456247115962
1770546543.7664266,walking_forward,0.92,92,1.84,90.8,44.71147126871111
1770546543.786971,walking_forward,0.93,93,1.86,90.7,47.32133141123586
1770546543.8077734,walking_forward,0.94,94,1.8800000000000001,90.6,41.03072614504801
1770546543.8291728,walking_forward,0.95,95,1.9000000000000001,90.5,49.27746808448562
1770546543.8498023,walking_forward,0.96,96,1.92,90.4,48.61660558867379
1770546543.8707373,walking_forward,0.97,97,1.94,90.3,46.683202513224614
1770546543.8909774,walking_forward,0.98,98,1.96,90.2,46.9107339075126
1770546543.9119334,walking_forward,0.99,99,1.98,90.1,47.42327459158231
